#{"t_start": 1716333781.762395, "env_id": "None"}
r,l,t
35014.41631,10000,9701.942513
35014.41631,10000,9719.169386
35014.41631,10000,9735.729787
6572.245455,10000,9765.986964
6572.245455,10000,9782.549929
6572.245455,10000,9799.653768
6572.245455,10000,9816.29002
6572.245455,10000,9833.465177
3684.513897,10000,9862.628054
3684.513897,10000,9879.309162
3684.513897,10000,9895.770716
3684.513897,10000,9912.15187
3684.513897,10000,9928.424079
-864.349007,10000,9963.419177
-864.349007,10000,9982.044516
-864.349007,10000,10000.374865
-864.349007,10000,10017.650164
-864.349007,10000,10035.630126
2032.077981,10000,10064.805825
2032.077981,10000,10082.239991
2032.077981,10000,10099.302106
2032.077981,10000,10116.205708
2032.077981,10000,10134.095807
7066.818506,10000,10164.690277
7066.818506,10000,10182.189724
7066.818506,10000,10199.184955
7066.818506,10000,10216.238549
7066.818506,10000,10234.24065
-591.650599,10000,10264.199276
-591.650599,10000,10281.259009
-591.650599,10000,10299.180966
-591.650599,10000,10316.655203
-591.650599,10000,10334.676262
770.762198,10000,10367.96436
770.762198,10000,10385.42861
770.762198,10000,10403.267287
770.762198,10000,10420.425437
770.762198,10000,10436.842041
1268.906197,10000,10465.548019
1268.906197,10000,10481.664916
1268.906197,10000,10498.519235
1268.906197,10000,10516.36428
1268.906197,10000,10533.266284
3710.999193,10000,10563.336393
3710.999193,10000,10580.910053
3710.999193,10000,10598.728998
3710.999193,10000,10615.971647
3710.999193,10000,10633.296722
73277.367269,10000,10663.642279
73277.367269,10000,10681.041363
73277.367269,10000,10698.335796
73277.367269,10000,10715.328939
73277.367269,10000,10732.770678
52270.807637,10000,10762.04448
52270.807637,10000,10779.343064
52270.807637,10000,10796.166701
52270.807637,10000,10813.123508
52270.807637,10000,10830.152715
69745.93642,10000,10860.555526
69745.93642,10000,10878.082039
69745.93642,10000,10895.196836
69745.93642,10000,10912.721195
69745.93642,10000,10930.311791
50240.536062,10000,10960.52116
50240.536062,10000,10977.769043
50240.536062,10000,10995.462142
50240.536062,10000,11012.702231
50240.536062,10000,11030.09281
-23247.836981,10000,11060.155536
-23247.836981,10000,11076.902207
-23247.836981,10000,11094.498806
-23247.836981,10000,11112.236293
-23247.836981,10000,11129.728894
